name	relationship	relationship_value	continent
2iLabs	Open leaders	3	Africa
7amleh-Arab Center for Social Media Advancement	None	1	Asia
A Little Learning	Mozfest Facilitator	3	Europe
Access Space	Mozfest Facilitator	3	Europe
Accessnow.org	Grantees	5	North America
Accessnow.org	IHR Contributors	4	North America
Accessnow.org	Mozfest Facilitator	3	North America
Accessnow.org	OWF Host Org Applicants	2	North America
ACLU of Northern California	OWF Host Org Applicants	2	North America
Acuity Design	Mozfest Facilitator	3	Europe
African Internet Freedom Forum	None	1	Africa
Afrosoft IT Solutions	Mozfest Facilitator	3	Africa
Agape Werks, Inc.	Grantees	5	North America
agile ventures	None	1
AHRC Digital Transformations Theme, University of Glasgow	Mozfest Facilitator	3	Europe
ai now	None	1	North America
Aletheia Foundation	Mozfest Facilitator	3
Aletheia Foundation	Open leaders	3
Alexander von Humboldt Institute for Internet and Society	OWF Host Org Applicants	2	Europe
Alfred P. Sloan Foundation	Funders	5	North America
All Digital	Grantees	5	Europe
Alliance for Affordable Internet (A4AI)	None	1	North America
Allied for Startups	None	1	Europe
allied media corp	None	1	North America
AlterMundi	None	1	South America
Alternative informatics association	None	1	Asia
Alternatives	None	1	North America
Althea Mesh	Mozfest Facilitator	3
amandla.mobi	OWF Host Org Applicants	2	Africa
American Civil Liberties Union	Mozfest Facilitator	3	North America
American Civil Liberties Union	Mozfest Speakers	4	North America
American Civil Liberties Union	Open leaders	3	North America
And Also Too	Mozfest Facilitator	3	North America
APS Foundation	Funders	5	North America
Ardent Film Trust	Grantees	5
Arid Lands Information Network	None	1	Africa
Arribada Initiative & Naturebytes	Mozfest Facilitator	3	Europe
Art 120	Grantees	5	North America
ARTICLE 19	Mozfest Facilitator	3	Europe
ARTICLE 19	OWF Host Org Applicants	2	Europe
Asociación por los Derechos Civiles	OWF Host Org Applicants	2	South America
Aspiration Tech	None	1	North America
Associació Pangea - Coordinadora Comunicació per a la Cooperació	None	1	Europe
Association for Learning Technology	Mozfest Facilitator	3	Europe
Association for Progressive Communications (APC)	None	1	Africa
Astraea Lesbian Foundation for Justice	None	1	North America
Asuntos del Sur	Open leaders	3
Austin Free-Net	Grantees	5	North America
AZUR Développement	None	1
Balochistan Voices	Mozfest Facilitator	3	Asia
Bangladesh Friendship Education Society	None	1	Asia
BBC R&D	Mozfest Facilitator	3	Europe
BBC R&D	OWF Host Org Applicants	2	Europe
Berkman Klein Center for Internet & Society	Funders	5	North America
BetaNYC	Mozfest Facilitator	3	North America
BetaNYC	Open leaders	3	North America
Beyond Activismo	Open leaders	3
Big Bang IO LLC	Grantees	5	North America
Bill & Melinda Gates Foundation	Funders	5	North America
Bionode.io	Mozfest Facilitator	3
Bits of Freedom	OWF Host Org Applicants	2	Europe
Blue Link Labs	Mozfest Facilitator	3	North America
