relationship	name	website	twitter	city	country	continent	lat	lon	relationship_value
Open leaders	2iLabs	http://2ilabs.com/	2iLabs	Lagos	Nigeria	Africa	6.45	3.4	4
None	7amleh-Arab Center for Social Media Advancement	https://www.apc.org/en/member/7amleh-arab-center-social-media-advancement	7amleh	Haifa	Palestinian territories	Asia	32.8	34.98333333	1
Mozfest Facilitator	A Little Learning	https://www.alittlelearning.org/	ALL_educators	London	United Kingdom	Europe	51.50722222	-0.1275	4
Mozfest Facilitator	Access Space	http://access-space.org/	accessspace	Sheffield	United Kingdom	Europe	53.3825	-1.471944444	4
Grantees	Accessnow.org	http://www.accessnow.org/	accessnow	New York City	United States of America	North America	40.67	-73.94	5
IHR Contributors	Accessnow.org	http://www.accessnow.org/	accessnow	New York City	United States of America	North America	40.67	-73.94	4
Mozfest Facilitator	Accessnow.org	http://www.accessnow.org/	accessnow	New York City	United States of America	North America	40.67	-73.94	4
None	Accessnow.org	http://www.accessnow.org/	accessnow	New York City	United States of America	North America	40.67	-73.94	1
OWF Host Org Applicants	Accessnow.org	http://www.accessnow.org/	accessnow	New York City	United States of America	North America	40.67	-73.94	3
OWF Host Org Applicants	ACLU of Northern California	https://www.aclunc.org/	aclu_norcal	San Francisco	United States of America	North America	37.766667	-122.433333	3
Mozfest Facilitator	Acuity Design	http://www.acuitydesign.eu/	Acuity_Design	Brighton	United Kingdom	Europe	50.82416667	-0.1338888889	4
None	African Internet Freedom Forum	https://pinigeria.org/iff/	paradigmhq						1
Mozfest Facilitator	Afrosoft IT Solutions	http://www.afrosoftug.com/	afrosoftug	Kampala	Uganda	Africa	0.3136111111	32.58111111	4
Grantees	Agape Werks, Inc.	https://chicagocityoflearning.org/	ExploreChi	Chicago	United States of America	North America	41.9	-87.65	5
None	agile ventures	https://www.agileventures.org/	AgileVentures						1
Mozfest Facilitator	AHRC Digital Transformations Theme, University of Glasgow	https://ahrc.ukri.org/	ahrcpress	Glasgow	United Kingdom	Europe	55.87	-4.27	4
None	ai now	https://ainowinstitute.org/	ainowinstitute	New York City	United States of America	North America	40.67	-73.94	1
Mozfest Facilitator	Aletheia Foundation	https://aletheia-foundation.io/	aletheia_f						4
Open leaders	Aletheia Foundation	https://aletheia-foundation.io/	aletheia_f						4
OWF Host Org Applicants	Alexander von Humboldt Institute for Internet and Society	http://www.hiig.de/en/	hiig_berlin	Berlin	Germany	Europe	52.51666667	13.38333333	3
Funders	Alfred P. Sloan Foundation	https://sloan.org/	SloanFoundation	New York City	United States of America	North America	40.67	-73.94	5
None	Alfred P. Sloan Foundation	https://sloan.org/	SloanFoundation	New York City	United States of America	North America	40.67	-73.94	1
None	All Digital	all-digital.org	AllDigitalEU	Brussels	Belgium	Europe	50.8467	4.3547	1
Grantees	All Digital	all-digital.org	AllDigitalEU	Brussels	Belgium	Europe	50.8467	4.3547	5
None	Alliance for Affordable Internet (A4AI)	http://a4ai.org/	a4a_internet	Washington, D.C.	United States of America	North America	38.895	-77.03666667	1
None	Allied for Startups	http://alliedforstartups.org/	Allied4Startups	Brussels	Belgium	Europe	50.8467	4.3547	1
None	allied media corp	http://www.allied-media.com/	alliedmedia	McLeansboro	United States of America	North America	38.09305556	-88.53611111	1
None	allied media projects	http://www.allied-media.com/	alliedmedia	McLeansboro	United States of America	North America	38.09305556	-88.53611111	1
None	AlterMundi	https://www.altermundi.net/	AlterMundiNet		Argentina	South America			1
None	Alternative informatics association	http://www.alternatifbilisim.org/	altbilisim	Istanbul	Turkey	Asia	41.01	28.960278	1
None	Alternatives	http://www.alternatives.ca	alternativesMTL	Montreal	Canada	North America	45.508056	-73.555	1
Mozfest Facilitator	Althea Mesh	https://altheamesh.com/	Altheamesh						4
OWF Host Org Applicants	amandla.mobi	https://www.amandla.mobi/	amandlamobi	Johannesburg	South Africa	Africa	-26.145	28.05027778	3
Mozfest Facilitator	American Civil Liberties Union	https://www.aclu.org	aclu	New York City	United States of America	North America	40.67	-73.94	4
Mozfest Speakers	American Civil Liberties Union	https://www.aclu.org	aclu	New York City	United States of America	North America	40.67	-73.94	4
None	American Civil Liberties Union	https://www.aclu.org	aclu	New York City	United States of America	North America	40.67	-73.94	1
Open leaders	American Civil Liberties Union	https://www.aclu.org	aclu	New York City	United States of America	North America	40.67	-73.94	4
Mozfest Facilitator	And Also Too	https://www.andalsotoo.net/	thisalso	Toronto	Canada	North America	43.7	-79.4	4
None	apc	https://www.apc.org/	APC_News	Melville, Gauteng	South Africa	Africa	-26.17583333	28.00888889	1
Funders	APS Foundation	https://www.aps.com/en/communityandenvironment/charitablegiving/ourgivingprograms/Pages/foundation.aspx	apsfyi	Mesa	United States of America	North America	33.415	-111.8313889	5
Grantees	Ardent Film Trust	http://www.ardentfilm.org/	ardenttalentco						5
None	Arid Lands Information Network	http://www.alin.or.ke/		Nairobi	Kenya	Africa	-1.283333333	36.81666667	1
Mozfest Facilitator	Arribada Initiative & Naturebytes	http://naturebytes.org/		London	United Kingdom	Europe	51.50722222	-0.1275	4
Grantees	Art 120	http://art120.org/about	art120org	Chattanooga	United States of America	North America	35.04555556	-85.26722222	5
Mozfest Facilitator	ARTICLE 19	http://www.article19.org/	article19org	London	United Kingdom	Europe	51.50722222	-0.1275	4
OWF Host Org Applicants	ARTICLE 19	http://www.article19.org/	article19org	London	United Kingdom	Europe	51.50722222	-0.1275	3
OWF Host Org Applicants	Asociación por los Derechos Civiles	http://adc.org.ar/	adc_derechos	Buenos Aires	Argentina	South America	-34.59972222	-58.38194444	3
None	Aspiration Tech	https://aspirationtech.org/	aspirationtech	San Francisco	United States of America	North America	37.766667	-122.433333	1
None	Associació Pangea - Coordinadora Comunicació per a la Cooperació	http://www.pangea.org	pangea_org	Barcelona	Spain	Europe	41.3825	2.176944444	1
Mozfest Facilitator	Association for Learning Technology	https://www.alt.ac.uk/	A_L_T	Oxford	United Kingdom	Europe	51.75194444	-1.257777778	4
None	Association for Progressive Communications (APC)	https://www.apc.org/	APC_News	Johannesburg	South Africa	Africa	-26.145	28.050278	1
None	Astraea Lesbian Foundation for Justice	http://www.astraeafoundation.org/	AstraeaUpdates	New York City	United States of America	North America	40.67	-73.94	1
Open leaders	Asuntos del Sur	http://asuntosdelsur.org/	asuntosdelsur						4
Grantees	Austin Free-Net	http://austinfree.net/	austinfreenet	Austin	United States of America	North America	30.3	-97.73333333	5
None	AZUR Développement	http://www.azurdev.org	azur_dev	Brazzaville	Republic of the Congo	Africa	4.266667	15.283333	1
Mozfest Facilitator	Balochistan Voices	http://balochistanvoices.com/	Bal_Voices	Gulistan, Balochistan	Pakistan	Asia	30.605	66.58527778	4
None	Bangladesh Friendship Education Society	http://www.bfes.net/		Dhaka	Bangladesh	Asia	23.7	90.36666667	1
Mozfest Facilitator	BBC R&D	https://www.bbc.co.uk/rd	bbcrd	London	United Kingdom	Europe	51.50722222	-0.1275	4
OWF Host Org Applicants	BBC R&D	https://www.bbc.co.uk/rd	bbcrd	London	United Kingdom	Europe	51.50722222	-0.1275	3
Funders	Berkman Klein Center for Internet & Society	http://cyber.law.harvard.edu/	BKCHarvard	Cambridge	United States of America	North America	42.375	-71.10611111	5
Mozfest Facilitator	BetaNYC	https://beta.nyc/	betanyc	New York City	United States of America	North America	40.67	-73.94	4
Open leaders	BetaNYC	https://beta.nyc/	betanyc	New York City	United States of America	North America	40.67	-73.94	4
Open leaders	Beyond Activismo	https://beyondactivismo.org/	beyondactivismo						4
Grantees	Big Bang IO LLC	https://getbigbang.com/	getbigbang	Kansas City	United States of America	North America	39.05	-94.58333333	5
Funders	Bill & Melinda Gates Foundation	http://www.gatesfoundation.org/	gatesfoundation	Seattle	United States of America	North America	47.6	-122.3166667	5
None	Bill & Melinda Gates Foundation	http://www.gatesfoundation.org/	gatesfoundation	Seattle	United States of America	North America	47.6	-122.3166667	1
Mozfest Facilitator	Bionode.io	https://www.bionode.io/	bionode						4
None	Bits of Freedom	https://www.bof.nl/	bitsoffreedom	Amsterdam	Netherlands	Europe	52.38333333	4.9	1
OWF Host Org Applicants	Bits of Freedom	https://www.bof.nl/	bitsoffreedom	Amsterdam	Netherlands	Europe	52.38333333	4.9	3
None	bk public libraries	https://www.bklynlibrary.org/	BKLYNlibrary	New York City	United States of America	North America	40.67	-73.94	1
Mozfest Facilitator	Blue Link Labs	https://bluelinklabs.com/		Austin	United States of America	North America	30.3	-97.73333333	4
None	BlueLink Information Network	http://www.bluelink.net	BlueLinkNet	Sofia	Bulgaria	Europe	42.7	23.33333333	1
Open leaders	BosLab	https://www.boslab.org/	BosLabMA	Boston	United States of America	North America	42.35777778	-71.06166667	4
Open leaders	Breakthrough New York	http://www.btny.org/	BreakthroughNY	New York City	United States of America	North America	40.67	-73.94	4
Grantees	Bro	https://www.bro.org/	Bro_IDS						5
Grantees	Brooklyn On Tech	https://technical.ly/organization/new-york-on-tech/		New York City	United States of America	North America	40.67	-73.94	5
Open leaders	Brooklyn Public Library	http://www.brooklynpubliclibrary.org/	BKLYNlibrary	New York City	United States of America	North America	40.67	-73.94	4
OWF Host Org Applicants	Brooklyn Public Library	http://www.brooklynpubliclibrary.org/	BKLYNlibrary	New York City	United States of America	North America	40.67	-73.94	3
Grantees	Buildbot	http://buildbot.net/							5
Grantees	Building Beats	https://buildingbeats.org/	BuildingBeats	New York City	United States of America	North America	40.67	-73.94	5
Mozfest Facilitator	BuzzFeed Open Lab	https://www.buzzfeed.com/openlab	buzzfeed	New York City	United States of America	North America	40.67	-73.94	4
None	Bytes for All, Bangladesh	http://bytesforall.net/	bytesforall	Dhaka	Bangladesh	Asia	23.7	90.36666667	1
Grantees	Caddy	https://caddyserver.com/	caddyserver	Orem	United States of America	North America	40.298753	-111.696486	5
None	CAFFE (Computers Are Free For Everyone)	http://www.caffebd.org/	caffebd	Dhaka	Bangladesh	Asia	23.7	90.36666667	1
Open leaders	Camera Libre	http://www.cameralibre.cc/	cameralibre	Wellington	New Zealand	Oceania	-41.28888889	174.7772222	4
Open leaders	Camfed International	https://camfed.org/	camfed	San Francisco	United States of America	North America	37.766667	-122.433333	4
OWF Host Org Applicants	Canadian Civil Liberties Association	http://www.ccla.org/	cancivlib	Toronto	Canada	North America	43.7	-79.4	3
Funders	Canadian Internet Registration Authority	https://cira.ca/	ciranews	Ottawa	Canada	North America	45.41666667	-75.7	5
None	Canadian Journalists for Free Expression	http://www.cjfe.org/	CJFE	Toronto	Canada	North America	43.7	-79.4	1
Grantees	Capital of Texas Media Foundation	https://www.cotmf.org/	CoTMediaFound	Austin	United States of America	North America	30.3	-97.73333333	5
Funders	Capital One Foundation	http://foundationcapital.com/	foundationcap	Palo Alto	United States of America	North America	37.42916667	-122.1380556	5
Grantees	Caribou Digital (UK) Ltd	http://cariboudigital.net/	caribou-digital	London	United Kingdom	Europe	51.50722222	-0.1275	5
Mozfest Facilitator	Carto	https://carto.com/	CARTO	New York City	United States of America	North America	40.67	-73.94	4
OWF Host Org Applicants	CAST	http://www.cast.org/	CAST_UDL	Wakefield	United States of America	North America	42.50638889	-71.07333333	3
Grantees	Catoosa County Public School System	http://www.catoosa.k12.ga.us/		Catoosa					5
Grantees	Center for Democracy and Technology	http://cdt.org/	CenDemTech	Washington, D.C.	United States of America	North America	38.895	-77.03666667	5
None	Center for Democracy and Technology	http://cdt.org/	CenDemTech	Washington, D.C.	United States of America	North America	38.895	-77.03666667	1
OWF Host Org Applicants	Center for Democracy and Technology	http://cdt.org/	CenDemTech	Washington, D.C.	United States of America	North America	38.895	-77.03666667	3
OWF Host Org Applicants	Center for Digital Democracy	https://www.democraticmedia.org/	DigitalDemoc	Washington, D.C.	United States of America	North America	38.895	-77.03666667	3
None	center for humane technology	http://humanetech.com/	HumaneTech_	San Francisco	United States of America	North America	37.766667	-122.433333	1
