name	website	twitter	city	country	continent	lat	lon	in relation with Mozilla?	subset	primary tactic	secondary tactic	organization type
National Science Foundation	http://www.nsf.gov/	NSF	Alexandria	United States of America	North America	38.80472222	-77.04722222	yes	yes	Research	none	Government agency
Bits of Freedom	https://www.bof.nl/	bitsoffreedom	Amsterdam	Netherlands	Europe	52.38333333	4.9	yes	yes	Public education	Policy campaigns	Nonprofit organization
Digital Freedom Fund	https://digitalfreedomfund.org/	df_fund	Amsterdam	Netherlands	Europe	52.38333333	4.9	no	yes	Grants	Litigation	Foundation
FabLabs (Netherlands)	http://fablab.waag.org/	fablab	Amsterdam	Netherlands	Europe	52.38333333	4.9	no	yes	Education and training activities	Local organizing	Nonprofit organization
Global Voices Online	https://globalvoices.org/	globalvoices	Amsterdam	Netherlands	Europe	52.38333333	4.9	yes	yes	Public education	Online organizing	Nonprofit organization
Kennisland	https://www.kl.nl/en/	kennisland	Amsterdam	Netherlands	Europe	52.38333333	4.9	no	yes	Research	Consulting	Company (public or private)
Mama Cash	http://www.mamacash.org/	mamacash	Amsterdam	Netherlands	Europe	52.38333333	4.9	no	yes	Grants	none	Foundation
NL Net Foundation (Netherlands)	https://nlnet.nl/	nlnetlabs	Amsterdam	Netherlands	Europe	52.38333333	4.9	no	yes	Grants	none	Foundation
Internews	http://www.internews.org/	Internews	Arcata	United States of America	North America	40.86638889	-124.0827778	no	yes	Education and training activities	Local organizing	Nonprofit organization
Robert W Deutsch Foundation	http://www.rwdfoundation.org/	DeutschFound	Baltimore	United States of America	North America	39.28638889	-76.615	no	yes	Grants	none	Foundation
f**koffgoogle.de	https://fuckoffgoogle.de/	none	Berlin	Germany	Europe	52.51666667	13.38333333	no	yes	Local organizing	International organizing	Advocacy group
Global Innovation Gathering (GIG)	https://www.globalinnovationgathering.org/	weareGIG	Berlin	Germany	Europe	52.51666667	13.38333333	yes	yes	Local organizing	Education and training activities	Nonprofit organization
iRights.Lab	https://irights-lab.de/en/	iRightslab	Berlin	Germany	Europe	52.51666667	13.38333333	no	yes	Consulting	Research	Company (public or private)
Stiftung Neue Verantwortung	http://www.stiftung-nv.de/	snv_berlin	Berlin	Germany	Europe	52.51666667	13.38333333	yes	yes	Policy development	none	Educational institution
Tactical Technology Collective	https://tacticaltech.org/	info_Activism	Berlin	Germany	Europe	52.51666667	13.38333333	yes	yes	Research	Education and training activities	Nonprofit organization
The Document Foundation	https://www.documentfoundation.org/	tdforg	Berlin	Germany	Europe	52.51666667	13.38333333	no	yes	Technology	Online organizing	Foundation
Deutsche Gesellschaft für Internationale Zusammenarbeit	http://www.giz.de/	giz_gmbh	Bonn	Germany	Europe	50.73388889	7.099722222	no	yes	Education and training activities	Consulting	Government agency
Free Software Foundation	https://fsf.org/	fsf	Boston	United States of America	North America	42.35777778	-71.06166667	no	yes	Policy campaigns	Technology	Nonprofit organization
All Digital	all-digital.org	AllDigitalEU	Brussels	Belgium	Europe	50.8467	4.3547	yes	yes	Education and training activities	Public education	Collective
Allied for Startups	http://alliedforstartups.org/	Allied4Startups	Brussels	Belgium	Europe	50.8467	4.3547	no	yes	Policy development	Policy campaigns	Collective
European Consumers' Bureau	http://www.beuc.eu/	none	Brussels	Belgium	Europe	50.8467	4.3547	no	yes	International organizing	Policy campaigns	Collective
European Digital Media Association (EDiMA)	http://edima-eu.org/	edima_eu	Brussels	Belgium	Europe	50.8467	4.3547	no	yes	International organizing	Policy development	Collective
European Digital Rights	https://edri.org/	edri	Brussels	Belgium	Europe	50.8467	4.3547	yes	yes	Policy development	Policy campaigns	Collective
Reading and Writing Foundation	http://www.readingfoundation.com/	TheReadF	Calgary	Canada	North America	51.05	-114.0666667	no	yes	Education and training activities	none	Company (public or private)
Berkman Klein Center for Internet & Society	http://cyber.law.harvard.edu/	BKCHarvard	Cambridge	United States of America	North America	42.375	-71.10611111	yes	yes	Research	Public education	Educational institution
DocuBricks	https://docubricks.com/	none	Cambridge	United States of America	North America	42.375	-71.10611111	yes	yes	Technology	Education and training activities	Educational institution
eLife	http://elifesciences.org/	elife	Cambridge	United States of America	North America	42.375	-71.10611111	yes	yes	Research	none	Nonprofit organization
MIT Media Lab	http://www.media.mit.edu	medialab	Cambridge	United States of America	North America	42.375	-71.10611111	yes	yes	Education and training activities	none	Educational institution
Open Knowledge International	https://www.okfn.org/	OKFN	Cambridge	United States of America	North America	42.375	-71.10611111	no	yes	Technology	Education and training activities	Nonprofit organization
Raspberry Pi Foundation	https://www.raspberrypi.org/	Raspberry_Pi	Cambridge	United States of America	North America	42.375	-71.10611111	yes	yes	Education and training activities	Technology	Nonprofit organization
The Tor Project, Inc	https://www.torproject.org	torproject	Cambridge	United States of America	North America	42.375	-71.10611111	yes	yes	Technology	none	Nonprofit organization
Research ICT Africa	https://researchictafrica.net/	RIAnetwork	Cape Town	South Africa	Africa	-33.925	18.425	yes	yes	Policy development	Research	Collective
Center for Open Science	https://cos.io/	OSFramework	Charlottesville	United States of America	North America	38.0299	-78.479	no	yes	Technology	Online organizing	Nonprofit organization
enterprise center chattanooga	https://www.theenterprisectr.org/	thenterprisectr	Chattanooga	United States of America	North America	35.04555556	-85.26722222	no	yes	Local organizing	Research	Nonprofit organization
Chicago Community Trust	http://www.cct.org/	chitrust	Chicago	United States of America	North America	41.9	-87.65	yes	yes	Grants	Local organizing	Nonprofit organization
chicago learning exchange	http://cct.org/about/partnerships_initiatives/hive-chicago/	none	Chicago	United States of America	North America	41.9	-87.65	no	yes	Local organizing	Education and training activities	Nonprofit organization
John D. and Catherine T. MacArthur Foundation	https://www.macfound.org/	macfound	Chicago	United States of America	North America	41.9	-87.65	yes	yes	Grants	none	Foundation
lucy parsons labs	https://lucyparsonslabs.com/	lucyparsonslabs	Chicago	United States of America	North America	41.9	-87.65	no	yes	Education and training activities	Local organizing	Nonprofit organization
International Media Support (IMS)	https://www.mediasupport.org/	forfreemedia	Copenhagen	Denmark	Europe	55.67611111	12.56888889	no	yes	Education and training activities	Policy campaigns	Nonprofit organization
Detroit Community Technology Project	http://detroitcommunitytech.org/	DetCommTech	Detroit	United States of America	North America	42.33166667	-83.0475	yes	yes	Local organizing	Education and training activities	Nonprofit organization
CAFFE (Computers Are Free For Everyone)	http://www.caffebd.org/	caffebd	Dhaka	Bangladesh	Asia	23.7	90.36666667	yes	yes	Education and training activities	none	Nonprofit organization
Shuttleworth Foundation	https://www.shuttleworthfoundation.org/	ShuttleworthFdn	Durbanville	South Africa	Africa	-33.81666667	18.85	no	yes	Fellowships	Grants	Foundation
The Software Sustainability Institute	https://www.software.ac.uk/	SoftwareSaved	Edinburgh	United Kingdom	Europe	55.95	-3.198888889	yes	yes	Research	Education and training activities	Educational institution
Free Press	http://freepress.net	freepress	Florence	United States of America	North America	42.33555556	-72.67166667	yes	yes	Policy campaigns	Local organizing	Nonprofit organization
Internet Engineering Task Force	https://www.ietf.org/	none	Fremont	United States of America	North America	37.54305556	-121.9827778	no	yes	Technology	Online organizing	Collective
Commission on Science and Technology for Development (CSTD)	http://unctad.org/en/Pages/CSTD.aspx	unctad	Geneva	Switzerland	Europe	46.2	6.15	no	yes	International organizing	none	Intergovernmental organization
diplo foundation through their internet governance courses	https://www.diplomacy.edu/	DiplomacyEdu	Geneva	Switzerland	Europe	46.2	6.15	no	yes	Education and training activities	Research	Nonprofit organization
International Telecommunication Union	http://www.itu.int	itu	Geneva	Switzerland	Europe	46.2	6.15	no	yes	Policy development	International organizing	Intergovernmental organization
The Womanity Foundation	http://womanity.org/	forwomanity	Geneva	Switzerland	Europe	46.2	6.15	no	yes	Education and training activities	Local organizing	Foundation
Dutch Ministry of Foreign Affairs	https://www.government.nl/ministries/ministry-of-foreign-affairs	DutchMFA	Hague	United States of America	North America	46.02833333	-99.99861111	no	yes	International organizing	none	Government agency
